study_ID,long_cite,bibtex_cite,year,expt_num,author_disciplines,AUTHOR_DISCIPLINE_1,AUTHOR_DISCIPLINE_2,AUTHOR_DISCIPLINE_3,study_type,psychological_target_outcome,PSY_TARGET_OUTCOME_CODE,psychological_measured_outcome,application_scenario,APPL_SCENARIOS_CODE,exp_type,number_of_sessions,NUMB_SESSIONS_CODE,N,study_design,notes_design,target_population,age_range,mean_age,gender,NB_CODE,FEMALE_CODE,MALE_CODE,sex_vs_gender,language,country,COUNTRY_CODE,notes_population,robot_model_1,robot_model_2,robot_model_3,robot_model_4,robot_model_5,robot_interactivity,observing_interacting,robot_operation,other_technologies,affect_behavior_generation_capabilities,generation_autonomy_level,affect_perception_capabilities,perception_autonomy_level,technological,design,ethical,affective,others (emp-study),inclusion_of_clinical_practice,theories_grounded,notes_others,notes_theories_grounded_implementation,data_collection_method,evaluation_method,notes_methods,computation_model_approaches,design_stakeholder_involvement,design_involved_stakeholders,design_method,ethical_user_safety,ethical_societal,ethical_implication_discussed,notes,ethical_external,ethical_internal,eligibility_decision,notes_elegibility_decision
,,,,"if >1 study in paper (e.g., pilot, experiment)","psychology, CS, engineering...",,,,"qual, quant, theoritical,  (QUAL, QUANT, THEOR, META-AN)","e.g., well-being, anxiety, depression",,"e.g., well-being, anxiety, depression","education, clinical",,"lab, school, wild,N/A (if it is not a study), N.R. (if they do not report it in the paper)","numbers, N/A., N.R. (not reported)",,"N/A ( if the participants are not involved, e.g., theoretical paper), N.R. ( if the authors did not report the number of participants)","single-session, within-subject, between-subject, factorial desing, RCT, etc.",,"neurotypical, neurodivergent (ASD, ADHD, diabetes...)","max, min (y.o.)",y.o.,"MX , FX , NBX, N.R., N/A",numbers of participants,,,"sex, gender, both","assume that in a english-speaking country, the participant speaks english, N.R., N/A",,sub-continental,,"NAO, Pepper etc.",if more than 1 robot,if more than 2 robots,if more than 3 robots,if more than 4 robots,"physical, virtual, video, picture, none","observing, interacting","WoZ, autononomous (A), semi-autonomous (SA), N/A, N.R.","tablet, other robots...",emotional expression,"WoZ, autononomous, semi-autonomous",emotion recognition..,"WoZ, autononomous, semi-autonomous","0, 1","0, 1","0, 1","0,1",,"does the interaction involve clinicians or not? e.g., standalone (0) or collaborative technology, if the clinician is involved (1), N/A (in case of design or review) ","0,1, N/A",,psychological-proven etc. ,"questionnaires, survey, interview? etc.",e.g. qualitative evaluation method,,"ML-based, statistical, deep learning etc.","PD, User-centred, top-down (check terminology)? N/A, N.R. etc",who? why are they selected? does it match the audience?,"tools e.g. canvases, techniques e.g. bodystorming","e.g., physical, mental well-being, data privacy, deception","e.g., fairness, justice, bias","0, 1",,"0, 1 (e.g., governing body)","0, 1 (e.g., within the university)",,
P002,"Koh, W. Q., Toomey, E., Flynn, A., & Casey, D. (2022). Determinants of implementing of pet robots in nursing homes for dementia care. BMC geriatrics, 22(1), 1-12.","@article{koh2022determinants,@article{koh2022determinants,
  title={Determinants of implementing of pet robots in nursing homes for dementia care},
  author={Koh, Wei Qi and Toomey, Elaine and Flynn, Aisling and Casey, Dympna},
  journal={BMC geriatrics},
  volume={22},
  number={1},
  pages={1--12},
  year={2022},
  publisher={BioMed Central}}",2022,1,Occupational Therapy,PSY,,,QUAL,"well-being, lonliness, reduced medication, anxiety",multiple targets,N/A,companions for dimenita care,HEALTH,interview,1,SINGLE,22,N/A,,dementia,20+,40-49,"M4, F18",0,18,4,GENDER,english,Ireland,Northern Europe,The target population was different than the interviewed population. Caregivers were interviewed,PARO,JFA,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1,0,,N/A,N/A,,Pet Therapy,INTERVIEWS,Consolidated Framework for Implementation Research,,N/A,N/A,N/A,N/A,"attachment conferns, negative reactions",deception concerns,1,"found concerns in theory for ehtics did not alignin practice and those who had experience with the robots had fewer concerns, overall ethics discussion is brief",0,1,Y,
P007,"Melina Helm, Felix Carros, Johannes Schädler, and Volker Wulf. 2022. Zoomorphic Robots and People with Disabilities. In Proceedings of Mensch und Computer 2022 (MuC '22). Association for Computing Machinery, New York, NY, USA, 431–436. https://doi.org/10.1145/3543758.3547552","@inproceedings{10.1145/3543758.3547552,
author = {Helm, Melina and Carros, Felix and Sch\""{a}dler, Johannes and Wulf, Volker},
title = {Zoomorphic Robots and People with Disabilities},
year = {2022},
isbn = {9781450396905},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3543758.3547552},
doi = {10.1145/3543758.3547552},
booktitle = {Proceedings of Mensch Und Computer 2022},
pages = {431–436},
numpages = {6},
location = {Darmstadt, Germany},
series = {MuC '22}
}",2022,1,"Information Systems and New Media, University of Siegen, Centre for Planning and Evaluation of Social Services (ZPE), University of Siegen, ",CS,SS,,QUAL,"lonliness, self-efficency, physical activity",multiple targets,"lonliness, self-efficency, physical activity",clinical,HEALTH,CARE-CENTER,N.R.,N.R.,10,observation,,mixed-disability,"73,30",N.R.,"7,3",0,3,7,sex,german/english,germany,Western Europe,,aibo,,,,,physical,interacting,A,N./A,N.R.,N.R.,N.R.,N.R.,0,1,0,0,1,1,0,exploratory study,,MIXED,thematic analysis,"diaries of clinicians, obervations and interviews",N/A,N/A,N/A,N/A,emotional exploitation,N/A,1,,1,0,Y,
P008,"Xu, L., Fields, N. L., Greer, J. A., Tamplain, P. M., Bricout, J. C., Sharma, B., & Doelling, K. L. (2022). Socially assistive robotics and older family caregivers of young adults with Intellectual and Developmental Disabilities (IDD): A pilot study exploring respite, acceptance, and usefulness. Plos one, 17(9), e0273479.","author={Gyrard, Amelie and Boudaoud, Karima},@article{xu2022socially,
  title={Socially assistive robotics and older family caregivers of young adults with Intellectual and Developmental Disabilities (IDD): A pilot study exploring respite, acceptance, and usefulness},
  author={Xu, Ling and Fields, Noelle L and Greer, Julienne A and Tamplain, Priscila M and Bricout, John C and Sharma, Bonita and Doelling, Kristen L},
  journal={Plos one},
  volume={17},
  number={9},
  pages={e0273479},
  year={2022},
  publisher={Public Library of Science San Francisco, CA USA}
}",2022,1,"Social work, Kinesiology ",MED,,,QUAL,social assistance,social support,well-being,home,SOCIAL,LAB,3,<=10,11,single session,"there were two sets of participants, the IDD adults and their 55+ adult care givers, only the the IDD adults interacted with the robots then the caregivers watched",Developmental Disabilities,"18,42",26.57,"M6, F5",0,5,6,GENDER,English,USA,North America,,PEPPER,,,,,physical,interacting,WoZ,N/A,emitional expression,WoZ,N/A,N/A,0,1,1,0,,0,0,,,SURVEYS,,,N/A,User-centered,caregiver (family meber) and adult IDD,"videos, interview",not specific,not specific,1,They note future work is more ethics exploration and consideration of ethics at deisgn time,0,1,Y,"answered most questions refering to the IDD audlts as that ishow the paper had it framed but they all had a paired adult caregiver, is a care giver a clinician?"
P009,"Tsai, Y. L., Wadgaonkar, C., Chun, B., & Knight, H. (2022). How service robots can improve workplace experience: Camaraderie, customization, and humans-in-the-loop. International Journal of Social Robotics, 14(7), 1605-1624.","@article{tsai2022service,
  title={How service robots can improve workplace experience: Camaraderie, customization, and humans-in-the-loop},
  author={Tsai, Yao-Lin and Wadgaonkar, Chinmay and Chun, Bohkyung and Knight, Heather},
  journal={International Journal of Social Robotics},
  volume={14},
  number={7},
  pages={1605--1624},
  year={2022},
  publisher={Springer}
}",2022,1,"Engineering,  Oregon State University",ENG,,,QUAL,mental wellbeing,well-being,mental well being,workplace,MENTAL,WORKPLACE,28,<=30,15,between-subject,,general,NR,NR,"7,8",0,8,7,N.R.,English,USA,North America,,CUSTOM,,,,,physical,interacting,WoZ,,affective conversation,WoZ,N/A,N/A,1,1,0,0,1,0,1,empirical study,robot ethnography,INTERVIEWS,statistical tests,,N/A,N/A,N/A,N/A,N/A,N/A,0,,0,0,Y,
P009,"Tsai, Y. L., Wadgaonkar, C., Chun, B., & Knight, H. (2022). How service robots can improve workplace experience: Camaraderie, customization, and humans-in-the-loop. International Journal of Social Robotics, 14(7), 1605-1624.","@article{tsai2022service,
  title={How service robots can improve workplace experience: Camaraderie, customization, and humans-in-the-loop},
  author={Tsai, Yao-Lin and Wadgaonkar, Chinmay and Chun, Bohkyung and Knight, Heather},
  journal={International Journal of Social Robotics},
  volume={14},
  number={7},
  pages={1605--1624},
  year={2022},
  publisher={Springer}
}",2022,2,"Engineering,  Oregon State University",ENG,,,QUAL,physical wellbeing,physical health,physical well being,workplace,MENTAL,WORKPLACE,91,>30,15,within-subject,,general,NR,NR,"6,9",0,9,6,N.R.,English,USA,North America,,CUSTOM,,,,,physical,interacting,WoZ,,affective conversation,WoZ,N/A,N/A,1,1,0,0,1,0,1,empirical study,robot ethnography,INTERVIEWS,statistical tests,,N/A,N/A,N/A,N/A,N/A,N/A,0,,0,0,Y,
P010,"Luperto, M., Romeo, M., Monroy, J., Renoux, J., Vuono, A., Moreno, F. A., ... & Borghese, N. A. (2022). User feedback and remote supervision for assisted living with mobile robots: A field study in long-term autonomy. Robotics and Autonomous Systems, 155, 104170.","@article{luperto2022user,title={User feedback and remote supervision for assisted living with mobile robots: A field study in long-term autonomy},title={User feedback and remote supervision for assisted living with mobile robots: A field study in long-term autonomy},author={Luperto, Matteo and Romeo, Marta and Monroy, Javier and Renoux, Jennifer and Vuono, Alessandro and Moreno, Francisco-Angel and Gonzalez-Jimenez, Javier and Basilico, Nicola and Borghese, N Alberto},journal={Robotics and Autonomous Systems},volume={155},
	pages={104170},
	year={2022},
	publisher={Elsevier}
	}",2022,1,"Applied Intelligent System Lab, Department of Computer Science, University of Milan, Milano, Italy
University of Manchester, Manchester, UK
Machine Perception and Intelligent Robotics Group (MAPIR), Department of System Engineering and Automation, University of Malaga, Spain
Instituto de Investigación Biomédica de Málaga–IBIMA BIONAND Platform, University of Málaga, Spain
Machine Perception and Interaction Lab, Örebro University, Örebro, Sweden",CS,ENG,,QUAL,elderly care,eldercare,N.R. ,elderly healthcare,TECHNICAL,CARE-CENTER,1,SINGLE,10,long-term,"there were 2 but not everyone did both, each 10 weeks, 14 participants but 4 dropped",elderly,"84,65",75.3,N.R.,N.R.,N.R.,N.R.,N.R.,"Italian,Spanish","Spain, Italy",Multi-national,,Giraff-X,,,,,physical,interacting,A,touchscreen,N.R.,N.R.,N.R,N.R.,1,1,0,0,,0,0,,,QUESTIONNAIRES,"qualitative look at results, and movement patterns of the robot",,IoT,N.R,N.R,N.R,data-privacy,N.R.,1,barley though,0,1,Y,
P013,"Niewiadomski, R., Bruijnes, M., Huisman, G., Gallagher, C. P., & Mancini, M. (2022). Social robots as eating companions. Frontiers in Computer Science (Lausanne), 4. https://doi.org/10.3389/fcomp.2022.909844","@article{NiewiadomskiRadoslaw2022Srae,
issn = {2624-9898},
journal = {Frontiers in computer science (Lausanne)},
volume = {4},
publisher = {Frontiers Media S.A},
year = {2022},
title = {Social robots as eating companions},
copyright = {info:eu-repo/semantics/openAccess},
language = {eng},
author = {Niewiadomski, Radoslaw and Bruijnes, Merijn and Huisman, G and Gallagher, Conor Patrick and Mancini, Maurizio},
keywords = {artificial companion ; commensality ; computational commensality ; nonverbal interaction ; social robot},
}",2022,1,"Dipartimento di Psicologia e Scienze Cognitive, University of Trento, Rovereto, Italy, School of Governance, Utrecht University, Utrecht, Netherlands, Human-Centered Design, Delft University of Technology, Delft, Netherlands, University College Cork, Cork, Ireland, Department of Computer Science, Sapienza University of Rome, Rome, Italy",PSY,CS,HUM,QUAL,"eating habits, well-being",eating,N.R. ,home,HEALTH,LAB,1,SINGLE,10,between-subject,,N.R.,N.R.,N.R.,"8, 2",0,2,8,N.R.,English,Ireland,Northern Europe,,Keepon,,,,,physical,interacting,A,N/A,emotional expression through movement and sound,A,N/A,N/A,0,1,0,1,1,0,0,single session study,,QUESTIONNAIRES,Qualitative,,STATE MACHINE,N/A,N/A,N/A,N/A,N/A,0,,0,0,Y,has ehtics statment that approval was not needed by local guidelines
P014,"Van Bindsbergen, K. L. A., van der Hoek, H., van Gorp, M., Ligthart, M. E. U., Hiniks, K. V., Neerincx, M. A., Alderliesten, T., Bosman, P. A. N., Merks, J. H. M., Grootenhuis, M. A., & van Litsenburg, R. R. L. (2022). Interactive Education on Sleep Hygiene with a Social Robot at a Pediatric Oncology Outpatient Clinic: Feasibility, Experiences, and Preliminary Effectiveness. Cancers, 14(15), 3792. https://doi.org/10.3390/cancers14153792","@article{vanBindsbergenKellyL.A2022IEoS,
issn = {2072-6694},
journal = {Cancers},
pages = {3792},
volume = {14},
publisher = {MDPI AG},
number = {15},
year = {2022},
title = {Interactive Education on Sleep Hygiene with a Social Robot at a Pediatric Oncology Outpatient Clinic: Feasibility, Experiences, and Preliminary Effectiveness},
copyright = {info:eu-repo/semantics/openAccess},
language = {eng},
address = {Basel},
author = {van Bindsbergen, Kelly L. A and van der Hoek, Hinke and van Gorp, Marloes and Ligthart, Mike E. U and Hiniks, Koen V and Neerincx, Mark A and Alderliesten, Tanja and Bosman, Peter A. N and Merks, Johannes H. M and Grootenhuis, Martha A and van Litsenburg, Raphaële R. L},
}",2022,1,"Princess Máxima Center for Pediatric Oncology
Emma Children’s Hospital, Amsterdam University Medical Centers
Department of Computer Science, Vrije Universiteit Amsterdam
TNO, Organization for Applied Scientific Research
Department of Intelligent Systems, Delft University of Technology
Department of Radiation Oncology, Leiden University Medical Center
Centrum Wiskunde & Informatica",MED,CS,,QUAL,sleep hygiene ,sleep,sleep hygiene ,clinical,EDU,CLINIC,1,SINGLE,28,between-subject,,Children with cancer or other health or developmental disability ,"11, 8",9.4,"14, 14",0,14,14,SEX,Dutch,Netherlands,Western Europe,,NAO,,,,,physical,interacting,N.R.,tablet,N.R.,N.R.,N/A,N/A,0,0,0,0,,0,0,,sleep hygiene improves sleep,QUESTIONNAIRES,statistical tests ,,N/A,N/A,N/A,N/A,N/A,N/A,0,,0,1,Y,
P018,"Bradwell, H. ., Edwards, K. ., Winnington, R., Thill, S., Allgar, V., & Jones, R. . (2022). Implementing affordable socially assistive pet robots in care homes before and during the COVID-19 pandemic: Stratified cluster randomized controlled trial and mixed methods study. JMIR Aging, 5(3), e38864–e38864. https://doi.org/10.2196/38864","@article{BradwellH.L2022Iasa,
issn = {2561-7605},
journal = {JMIR aging},
pages = {e38864--e38864},
volume = {5},
publisher = {JMIR Publications},
number = {3},
year = {2022},
title = {Implementing affordable socially assistive pet robots in care homes before and during the COVID-19 pandemic: Stratified cluster randomized controlled trial and mixed methods study},
copyright = {info:eu-repo/semantics/openAccess},
language = {eng},
address = {Toronto},
author = {Bradwell, H.L and Edwards, K.J and Winnington, R and Thill, S and Allgar, V and Jones, R.B},
}",2022,1,"Centre for Health Technology, University of Plymouth, Plymouth, United Kingdom
School of Clinical Sciences, Auckland University of Technology, Auckland, New Zealand
Donders Institute for Brain, Cognition, and Behaviour, Radboud University, Nijmegen, Netherlands",MED,,,QUAL,Elderly care,eldercare,neuropsychiatric symptoms ,care home,HOME,CARE-CENTER,1,SINGLE,63,RCT,,elderly,N.R.,87.21,"14, 49",0,49,14,GENDER,English,United Kingdon,Northern Europe,,JFA,,,,,physical,interacting,A,N/A,N.R.,N.R.,N.R.,N.R.,0,1,0,0,1,1,0,single session elderly study,,MIXED,Statistical tests,"questinaire, interviews",N/A,N/A,N/A,N/A,possibility of infection,N/A,1,,1,1,Y,
